,name,rating,company_type,location,old,emp,reviews
375,SRF,4.3,Public,"Gurgaon/Gurugram,Haryana",52 years old,1k-5k employees (India),(884 Reviews)
376,Kalpataru Power Tr...,4.1,Public,"Mumbai,Maharashtra + 117 more",41 years old,1k-5k employees (India),(881 Reviews)
377,Sopra Steria,4.1,Private,"Paris,Ile-de-France + 9 more",54 years old,1k-5k employees (India),(880 Reviews)
378,MetLife,4.3,Private,New York,14 years old,5k-10k employees (India),(880 Reviews)
379,BT Group,4.2,Private,London,176 years old,5k-10k employees (India),(1.5k Reviews)
380,Parle Products,4.1,Private,Mumbai + 114 more,93 years old,1k-5k employees (India),(878 Reviews)
381,Metro,4.2,Private,"Bangalore/Bengaluru,Karnataka + 49 more",58 years old,1k-5k employees (India),(878 Reviews)
382,Future Generali In...,3.9,Private,Mumbai + 122 more,15 years old,1k-5k employees (India),(875 Reviews)
383,Quest Global,3.4,Private,Singapore + 21 more,25 years old,10k-50k employees (India),(873 Reviews)
384,Lodha group,4.3,Private,"Mumbai,Maharashtra + 15 more",42 years old,1k-5k employees (India),(872 Reviews)
385,Coromandel Interna...,4.2,Public,"Hyderabad/Secunderabad,Telangana + 113 more",61 years old,10k-50k employees (India),(870 Reviews)
386,WABCO,4.0,Public,Berne + 29 more,53 years old,1k-5k employees (India),(866 Reviews)
387,Hindustan Construc...,4.1,Public,"Mumbai,Maharashtra + 51 more",96 years old,1k-5k employees (India),(866 Reviews)
388,JCB,4.1,Private,"Rocester,Staffordshire + 62 more",77 years old,1k-5k employees (India),(865 Reviews)
389,Societe Generale,3.8,Private,"Bangalore/Bengaluru,Karnataka",22 years old,1k-5k employees (India),(864 Reviews)
390,Birlasoft,3.6,Public,"Pune,Maharashtra + 18 more",27 years old,5k-10k employees (India),(859 Reviews)
391,Grasim Industries,4.1,Public,Nagda,75 years old,10k-50k employees (India),(1.7k Reviews)
392,Sterlite Technolog...,4.1,Public,"Pune,Maharashtra + 49 more",34 years old,1k-5k employees (India),(857 Reviews)
393,Uflex,3.7,Public,"Noida,Uttar Pradesh",39 years old,5k-10k employees (Global),(928 Reviews)
394,Dainik Bhaskar Gro...,4.0,Public,"Bhopal,Madhya Pradesh + 103 more",64 years old,5k-10k employees (India),(853 Reviews)
395,ITC Hotels,4.1,Public,"Kolkata,West Bengal",47 years old,5k-10k employees (India),(898 Reviews)
396,Punj Lloyd,4.2,Public,"Gurgaon/Gurugram,Haryana + 66 more",40 years old,1k-5k employees (India),(850 Reviews)
397,Barclays Shared Se...,4.2,Private,London + 10 more,15 years old,5k-10k employees (India),(844 Reviews)
398,Info Edge,3.8,Public,"Noida,Uttar Pradesh",27 years old,1k-5k employees (India),(1.2k Reviews)
399,Foxconn,4.1,Private,Taipei + 22 more,48 years old,10k-50k employees (India),(839 Reviews)
400,Aforeserve.com,3.5,Private,"Noida,Uttar Pradesh + 114 more",22 years old,1k-5k employees (India),(838 Reviews)
401,Panasonic,4.1,Private,"Kadoma,Osaka",104 years old,10k-50k employees (India),(1.4k Reviews)
402,Inox Leisure,4.1,Public,"Mumbai,Maharashtra + 75 more",23 years old,1k-5k employees (India),(835 Reviews)
403,Mahindra Logistics,4.1,Public,"Mumbai,Maharashtra + 80 more",22 years old,1k-5k employees (India),(834 Reviews)
404,Bureau Veritas,3.9,Private,La Défense,194 years old,1k-5k employees (India),(848 Reviews)
405,Max Fashion,4.3,Private,Abu Dhabi + 102 more,8 years old,5k-10k employees (India),(830 Reviews)
406,Adani Wilmar,4.1,Public,"Ahmedabad,Gujrat + 99 more",34 years old,1k-5k employees (India),(827 Reviews)
407,Iksula,4.0,"Mumbai,Maharashtra + 114 more",15 years old,201-500 employees (India),,(827 Reviews)
408,Yazaki,4.0,Private,"Tokyo,Tokyo",81 years old,10k-50k employees (India),(1k Reviews)
409,Cromā,4.4,Private,"Mumbai,Maharashtra + 62 more",16 years old,1k-5k employees (India),(823 Reviews)
410,Dell EMC,4.0,Private,Hopkinton,43 years old,10k-50k employees (India),(858 Reviews)
411,Johnson & Johnson,4.3,Private,"New Brunswick,New Jersey",65 years old,5k-10k employees (India),(858 Reviews)
412,Honeywell Automati...,3.9,Public,"Morris Plains,New Jersey + 42 more",116 years old,10k-50k employees (India),(815 Reviews)
413,Kent RO Systems,3.5,Private,"Noida,Uttar Pradesh + 107 more",23 years old,1k-5k employees (India),(810 Reviews)
414,Procter & Gamble,4.2,Public,"Cincinnati,Ohio",185 years old,5k-10k employees (India),(1.1k Reviews)
415,CSS Corp,3.7,Private,"San Jose,California",26 years old,1k-5k employees (India),(809 Reviews)
416,Sify Technologies,3.9,Private,"Chennai,Tamil Nadu + 68 more",27 years old,1k-5k employees (India),(808 Reviews)
417,The Jaypee Group,4.1,Public,"Noida,Uttar Pradesh",43 years old,10k-50k employees (India),(1.4k Reviews)
418,Sony,4.4,Public,"Delhi/NCR,Delhi",28 years old,501-1k employees (India),(897 Reviews)
419,Serco,4.2,Private,Hook + 37 more,34 years old,5k-10k employees (India),(804 Reviews)
420,Marriott Internati...,4.2,Private,"Bethesda,Maryland",95 years old,10k-50k employees (India),(2.8k Reviews)
421,Reckitt Benckiser,4.1,Private,Slough + 85 more,23 years old,1k-5k employees (India),(801 Reviews)
422,Tech Mahindra Busi...,3.6,"Mumbai,Maharashtra",19 years old,5k-10k employees (Global),,(15k Reviews)
423,Vertex Customer So...,3.6,Private,Panchkula + 30 more,12 years old,1k-5k employees (India),(798 Reviews)
424,Toyota Kirloskar M...,4.2,Private,"Bangalore/Bengaluru,Karnataka",25 years old,5k-10k employees (India),(885 Reviews)
425,Syngene Internatio...,3.8,Public,"Bangalore/Bengaluru,Karnataka + 10 more",29 years old,1k-5k employees (India),(794 Reviews)
426,Novartis Healthcar...,4.2,Public,"Mumbai,Maharashtra",26 years old,1k-5k employees (India),(1k Reviews)
427,Dr Lal PathLabs,4.2,Public,"Gurgaon/Gurugram,Haryana + 97 more",73 years old,1k-5k employees (India),(791 Reviews)
428,ValueLabs,3.6,Private,"Hyderabad/Secunderabad,Telangana + 10 more",25 years old,5k-10k employees (Global),(790 Reviews)
429,Bharat Financial I...,4.2,Public,Hyderabad + 191 more,24 years old,10k-50k employees (India),(788 Reviews)
430,KFC,4.2,Private,"Louisville,Kentucky + 107 more",70 years old,1k-5k employees (India),(788 Reviews)
431,Ninjacart,3.3,Private,Bangalore + 54 more,7 years old,1k-5k employees (India),(787 Reviews)
432,Shell,4.2,Public,"Bangalore/Bengaluru,Karnataka",18 years old,5k-10k employees (India),(802 Reviews)
433,Cybage,3.8,Private,"Pune,Maharashtra + 3 more",27 years old,5k-10k employees (India),(786 Reviews)
434,Akums Drugs & Phar...,4.0,Private,"Delhi/NCR,New Delhi",18 years old,5k-10k employees (India),(1.1k Reviews)
435,Tata Sky,4.1,Public,"Mumbai,Maharashtra + 134 more",16 years old,1k-5k employees (India),(785 Reviews)
436,XcelServ Solutions,4.8,Private,"Las Vegas,Nevada + 34 more",11 years old,501-1k employees (India),(784 Reviews)
437,Consolidated Contr...,4.6,Public,"Marousi,Alger + 35 more",70 years old,1k-5k employees (India),(783 Reviews)
438,Adecco Group,3.9,Private,"Bangalore/Bengaluru,Karnataka",23 years old,1k-5k employees (India),(781 Reviews)
439,BA Continuum,4.3,Private,"Gurgaon/Gurugram,Haryana + 11 more",19 years old,1k-5k employees (India),(781 Reviews)
440,Angel Broking,3.9,Private,"Mumbai,Maharashtra + 97 more",30 years old,1k-5k employees (India),(780 Reviews)
441,Narayana Education...,3.8,Private,"Hyderabad/Secunderabad,Telangana + 80 more",37 years old,1k-5k employees (India),(780 Reviews)
442,Edelweiss,3.9,Public,"Mumbai,Maharashtra",5 years old,1k-5k employees (India),(776 Reviews)
443,SGS,3.9,Private,"Geneva,Geneva",144 years old,1k-5k employees (India),(775 Reviews)
444,Essar Steel,3.9,Private,"Mumbai,Maharashtra",46 years old,10k-50k employees (Global),(772 Reviews)
445,Badve Engineering,4.0,Private,"Aurangabad,Maharashtra + 29 more",26 years old,1k-5k employees (India),(771 Reviews)
446,RMSI,3.8,Private,"Noida,Uttar Pradesh + 10 more",30 years old,1k-5k employees (India),(769 Reviews)
447,Mother Dairy Fruit...,4.1,Private,"Noida,Uttar Pradesh + 83 more",48 years old,1k-5k employees (India),(768 Reviews)
448,TVS Logistics Serv...,4.1,Private,"Chennai,Tamil Nadu",18 years old,1k-5k employees (India),(868 Reviews)
449,Kotak Securities,3.9,Private,"Mumbai,Maharashtra + 83 more",28 years old,1k-5k employees (India),(765 Reviews)
450,DHL Express,4.2,Private,Bonn,43 years old,1k-5k employees (India),(946 Reviews)
451,Emami,3.9,Public,"Kolkata,West Bengal",48 years old,10k-50k employees (India),(1.4k Reviews)
452,Reliance General I...,3.9,Private,"Mumbai,Maharashtra + 129 more",22 years old,10k-50k employees (India),(757 Reviews)
453,SRL Diagnostics,4.1,Private,Mumbai + 99 more,27 years old,1k-5k employees (India),(756 Reviews)
454,Extramarks Educati...,3.0,Private,Noida + 75 more,15 years old,1k-5k employees (India),(754 Reviews)
455,Ocwen Financial So...,4.0,Private,"West Palm Beach,Florida + 6 more",34 years old,1k-5k employees (India),(752 Reviews)
456,HCL Technologies B...,3.5,Private,Noida + 27 more,22 years old,10k-50k employees (Global),(752 Reviews)
457,Indian Air Force,4.6,Private,"New Delhi,Delhi + 78 more",90 years old,1 Lakh+ employees (India),(750 Reviews)
458,Synechron,3.9,Private,"New York,New York",21 years old,5k-10k employees (India),(764 Reviews)
459,Cavinkare,4.1,Private,"Chennai,Tamil Nadu + 95 more",39 years old,1k-5k employees (India),(749 Reviews)
460,Microland,3.7,Public,Bangalore + 28 more,33 years old,1k-5k employees (India),(748 Reviews)
461,State Street Corpo...,3.6,Private,Massachusetts,12 years old,5k-10k employees (India),(885 Reviews)
462,FedEx Express,4.3,Private,"Memphis,Tennessee",51 years old,1k-5k employees (India),(913 Reviews)
463,Barclays,4.1,Private,London,332 years old,5k-10k employees (India),(774 Reviews)
464,Blinkit,4.0,Private,Gurgaon + 35 more,9 years old,1k-5k employees (India),(745 Reviews)
465,Fujitsu,3.8,Private,"Bangalore/Bengaluru,Karnataka + 12 more",87 years old,5k-10k employees (India),(745 Reviews)
466,Exl India,3.8,New Delhi + 19 more,65 years old,10k-50k employees (Global),,(743 Reviews)
467,Vfs Global Service...,3.8,Private,"Mumbai,Maharashtra + 21 more",21 years old,1k-5k employees (India),(741 Reviews)
468,Verizon,4.0,Private,"New York,New York",22 years old,5k-10k employees (India),(765 Reviews)
469,USHA International,4.3,Public,"Gurgaon/Gurugram,Haryana",88 years old,1k-5k employees (India),(754 Reviews)
470,Gannon Dunkerley,4.0,Private,"Mumbai,Maharashtra + 48 more",98 years old,1k-5k employees (India),(740 Reviews)
471,Aricent,3.7,Private,"Santa Clara,California + 11 more",40 years old,5k-10k employees (India),(736 Reviews)
472,Satin Creditcare N...,4.2,Public,"Gurgaon/Gurugram,Haryana + 152 more",32 years old,5k-10k employees (India),(736 Reviews)
473,Bank of Baroda,3.8,Private,"Vadodara/Baroda,Gujrat",114 years old,10k-50k employees (India),(992 Reviews)
474,Varroc Group,3.7,Public,Aurangabad,34 years old,1k-5k employees (India),(826 Reviews)
475,AECOM,4.0,Private,"Los Angeles,California",32 years old,1k-5k employees (India),(735 Reviews)
476,BlackBuck,3.8,Private,Bangalore + 123 more,7 years old,501-1k employees (India),(729 Reviews)
477,First American Cor...,4.0,Private,"Santa Ana,California",133 years old,1k-5k employees (India),(1.1k Reviews)
478,Medanta the Medici...,4.1,Private,Gurgaon + 24 more,13 years old,1k-5k employees (India),(727 Reviews)
479,Safexpress,4.1,Private,"Delhi/NCR,Delhi",25 years old,1k-5k employees (India),(835 Reviews)
480,Bharat Forge,3.9,Public,"Pune,Maharashtra + 11 more",61 years old,1k-5k employees (India),(723 Reviews)
481,Jindal Stainless,4.1,Public,"Delhi/NCR,New Delhi",52 years old,10k-50k employees (India),(769 Reviews)
482,KocharTech,3.9,Private,"Gurgaon/Gurugram,Haryana + 17 more",27 years old,1k-5k employees (India),(720 Reviews)
483,Medi Assist India,3.8,Private,Bangalore + 40 more,22 years old,1k-5k employees (India),(717 Reviews)
484,Trident Group,3.8,Public,"Ludhiana,Punjab",32 years old,1k-5k employees (India),(716 Reviews)
485,Motherson Automoti...,3.9,Private,Noida,25 years old,10k-50k employees (Global),(2.9k Reviews)
486,Sitel,3.8,Private,"Miami,Florida",37 years old,1k-5k employees (India),(829 Reviews)
487,ISS Facility Servi...,4.3,Private,Copenhagen + 44 more,17 years old,50k-1 Lakh employees (India),(713 Reviews)
488,Innovsource Servic...,4.1,"Mumbai,Maharashtra + 107 more",18 years old,1k-5k employees (India),,(712 Reviews)
489,DIVI'S Laboratorie...,3.6,Public,"Hyderabad/Secunderabad,Telangana + 12 more",32 years old,10k-50k employees (India),(711 Reviews)
490,Aavas Financiers,4.0,Public,"Jaipur,Rajasthan + 156 more",11 years old,5k-10k employees (India),(711 Reviews)
491,Bayer,4.4,Public,"Thane,Maharashtra",159 years old,10k-50k employees (India),(919 Reviews)
492,Hindustan Petroleu...,4.3,Public,"Mumbai,Maharashtra + 119 more",48 years old,5k-10k employees (India),(709 Reviews)
493,Zomato,3.9,Private,"Gurgaon/Gurugram,Haryana + 110 more",14 years old,1k-5k employees (India),(709 Reviews)
494,L.G.Balakrishnan &...,3.9,Public,"Coimbatore,Tamil Nadu + 28 more",85 years old,1k-5k employees (India),(709 Reviews)
495,Tesco,4.1,Private,Hertfordshire,103 years old,1k-5k employees (India),(760 Reviews)
496,Pantaloons,4.2,"Mumbai,Maharashtra + 102 more",25 years old,10k-50k employees (India),,(708 Reviews)
497,Allsec Technologie...,3.7,Public,"Bangalore/Bengaluru,Karnataka + 14 more",22 years old,1k-5k employees (India),(707 Reviews)
498,JW Marriott,4.3,Private,"Bethesda,Maryland + 33 more",95 years old,1k-5k employees (India),(706 Reviews)
499,NCR Corporation,3.9,Private,"Atlanta,Georgia",138 years old,5k-10k employees (India),(708 Reviews)
500,Canara HSBC OBC Li...,3.7,Public,"Gurgaon/Gurugram,Haryana + 139 more",14 years old,1k-5k employees (India),(705 Reviews)
501,Swaraj Tractors,4.3,"Mumbai,Maharashtra + 86 more",60 years old,,,(705 Reviews)
502,Akzo Nobel India,4.2,Public,Amsterdam + 99 more,83 years old,1k-5k employees (India),(704 Reviews)
503,NTPC,4.2,Private,"Delhi/NCR,Delhi",47 years old,10k-50k employees (India),(1.1k Reviews)
504,renault nissan tec...,3.8,Chennai + 10 more,1k-5k employees (India),,,(703 Reviews)
505,Intex Technologies,4.0,Public,"Delhi/NCR,New Delhi + 69 more",26 years old,1k-5k employees (India),(702 Reviews)
506,SLK Global Service...,3.9,Private,"Dallas,Texas + 5 more",22 years old,51-200 employees (India),(702 Reviews)
507,KONE,4.2,Private,"Chennai,Tamil Nadu + 51 more",38 years old,1k-5k employees (India),(700 Reviews)
508,Relaxo Footwear,4.0,Public,"New Delhi,Delhi + 83 more",46 years old,1k-5k employees (India),(698 Reviews)
509,Harman Connected S...,3.8,Private,"Mountain View,California + 8 more",21 years old,1k-5k employees (India),(697 Reviews)
510,Vardhman Textiles,4.2,Public,Ludhiana,60 years old,10k-50k employees (India),(914 Reviews)
511,Nayara Energy,4.1,"Mumbai,Maharashtra + 55 more",33 years old,1k-5k employees (India),,(695 Reviews)
512,HDFC Securities,3.6,Public,"Mumbai,Maharashtra + 124 more",22 years old,1k-5k employees (India),(694 Reviews)
513,Laurus Labs,4.3,Public,"Hyderabad/Secunderabad,Telangana + 4 more",17 years old,1k-5k employees (India),(693 Reviews)
514,FactSet,3.9,Private,"Norwalk,Connecticut + 5 more",15 years old,1k-5k employees (India),(693 Reviews)
515,Star Health & Alli...,4.0,Private,"Chennai,Tamil Nadu + 160 more",16 years old,10k-50k employees (India),(692 Reviews)
516,Philips,4.0,Private,Amsterdam,92 years old,5k-10k employees (India),(1.1k Reviews)
517,G R Infraprojects,4.1,Public,"Udaipur,Rajasthan + 85 more",27 years old,10k-50k employees (India),(689 Reviews)
518,Cinépolis,4.4,Morelia + 42 more,51 years old,501-1k employees (India),,(688 Reviews)
519,Northern Trust Ope...,4.1,Private,"Bangalore/Bengaluru,Karnataka + 11 more",17 years old,1k-5k employees (India),(687 Reviews)
520,USV,4.1,Private,"Mumbai,Maharashtra + 67 more",61 years old,1k-5k employees (India),(685 Reviews)
521,Exela Technologies,3.5,Private,"Irving,Texas + 13 more",11 years old,1k-5k employees (India),(685 Reviews)
522,Petrofac,4.3,Private,"Sharjah,Sharjah",31 years old,1k-5k employees (India),(683 Reviews)
523,Schindler Group,4.0,Private,"Ebikon,Lucerne + 48 more",25 years old,1k-5k employees (India),(682 Reviews)
524,Tikona Infinet,3.9,Private,"Mumbai,Maharashtra + 41 more",14 years old,1k-5k employees (India),(682 Reviews)
525,Volkswagen,4.1,Private,Berlin,21 years old,10k-50k employees (India),(1.2k Reviews)
526,Cisco Systems,4.5,Private,"San Jose,California",38 years old,10k-50k employees (India),(702 Reviews)
527,Trent,4.3,Public,"Mumbai,Maharashtra + 73 more",24 years old,1k-5k employees (India),(680 Reviews)
528,Altisource,3.6,Private,"Bangalore/Bengaluru,Karnataka + 8 more",15 years old,1k-5k employees (India),(680 Reviews)
529,Saipem,4.4,Private,"San Donato Milanese,Milan",65 years old,1k-5k employees (India),(680 Reviews)
530,J. Kumar Infraproj...,4.0,Public,"Mumbai,Maharashtra + 23 more",42 years old,5k-10k employees (India),(679 Reviews)
531,Welspun India,4.0,Private,Mumbai + 27 more,37 years old,5k-10k employees (India),(679 Reviews)
532,Torrent Power,3.8,Public,"Ahmedabad,Gujrat",26 years old,1k-5k employees (India),(680 Reviews)
533,Motilal Oswal Fina...,3.7,Public,"Mumbai,Maharashtra",35 years old,5k-10k employees (India),(675 Reviews)
534,iQor Global Servic...,4.0,Private,"Saint Petersburg,Florida + 47 more",24 years old,1k-5k employees (India),(674 Reviews)
535,Fabindia,4.0,Private,"Delhi/NCR,Delhi + 67 more",64 years old,1k-5k employees (India),(674 Reviews)
536,Indiabulls Home Lo...,4.0,"Gurgaon/Gurugram,Haryana + 100 more",17 years old,5k-10k employees (India),,(670 Reviews)
537,Aptara,3.4,Private,"Falls Church,Virginia + 9 more",34 years old,1k-5k employees (India),(669 Reviews)
538,Intellect Design A...,4.0,Public,"Chennai,Tamil Nadu + 20 more",8 years old,1k-5k employees (India),(669 Reviews)
539,Mercedes-Benz Rese...,3.8,Private,Stuttgart + 45 more,26 years old,1k-5k employees (India),(668 Reviews)
540,Crisil,3.7,Public,"Mumbai,Maharashtra",35 years old,1k-5k employees (India),(668 Reviews)
541,TCE,3.6,Private,"Mumbai,Maharashtra + 59 more",60 years old,1-10 employees (India),(665 Reviews)
542,Heritage Foods Ind...,4.0,Public,"Hyderabad/Secunderabad,Telangana + 62 more",30 years old,501-1k employees (India),(663 Reviews)
543,Steel Strips Wheel...,3.5,Public,"Chandigarh,Chandigarh + 23 more",37 years old,5k-10k employees (India),(662 Reviews)
544,ISGEC,4.0,Public,"Noida,Uttar Pradesh + 42 more",89 years old,1k-5k employees (India),(661 Reviews)
545,GMR Group,4.2,Public,"Delhi/NCR,New Delhi",44 years old,5k-10k employees (India),(1.3k Reviews)
546,DENSO,4.1,Public,"Kariya,Aichi",75 years old,501-1k employees (India),(723 Reviews)
547,Sharekhan,4.1,Public,"Mumbai,Maharashtra + 98 more",22 years old,1k-5k employees (India),(659 Reviews)
548,Square Yards,2.8,Private,Gurgaon + 33 more,9 years old,1k-5k employees (India),(658 Reviews)
549,HERE Technologies,4.0,Private,"Eindhoven,North Brabant + 8 more",37 years old,1k-5k employees (India),(656 Reviews)
550,Unisys,3.6,Private,"Blue Bell,Pennsylvania + 8 more",35 years old,1k-5k employees (India),(655 Reviews)
551,CMA CGM,4.0,Private,"Marseille,Marseille",44 years old,501-1k employees (India),(775 Reviews)
552,Lumax Industries,4.0,Public,"Pune,Maharashtra + 25 more",77 years old,501-1k employees (India),(653 Reviews)
553,Columbia Asia,4.3,Private,"Bangalore/Bengaluru,Karnataka + 18 more",17 years old,1k-5k employees (India),(653 Reviews)
554,Citibank,3.8,Private,"New York,New York",210 years old,10k-50k employees (India),(1.4k Reviews)
555,Sysnet Global Tech...,3.9,Private,"Delhi/NCR,Delhi + 86 more",23 years old,1k-5k employees (India),(652 Reviews)
556,Faurecia,4.0,Private,Nanterre + 21 more,25 years old,1k-5k employees (India),(652 Reviews)
557,Yash Technologies,3.8,Private,"East Moline,Illinois + 10 more",26 years old,5k-10k employees (India),(648 Reviews)
558,Minda Industries,4.0,Public,"Gurgaon/Gurugram,Haryana + 37 more",64 years old,1k-5k employees (Global),(646 Reviews)
559,Reliance SMSL,4.2,Public,Mumbai + 203 more,15 years old,1k-5k employees (India),(643 Reviews)
560,NIIT,3.7,Public,Gurgaon/Gurugram + 77 more,1k-5k employees (India),,(643 Reviews)
561,Amity University,3.7,Private,"Noida,Uttar Pradesh + 61 more",17 years old,1k-5k employees (India),(642 Reviews)
562,Bata,4.0,Public,Lausanne + 78 more,91 years old,1k-5k employees (India),(642 Reviews)
563,SAP,4.4,Private,"Walldorf,Baden-Württemberg",24 years old,10k-50k employees (India),(906 Reviews)
564,Security and Intel...,4.2,"Delhi/NCR,Delhi + 104 more",37 years old,1 Lakh+ employees (India),,(637 Reviews)
565,Indian Railways,4.1,Govt Organisation,"Delhi/NCR,Delhi",169 years old,1 Lakh+ employees (Global),(2k Reviews)
566,Aragen Life Scienc...,4.3,Private,"Hyderabad/Secunderabad,Telangana + 10 more",22 years old,1k-5k employees (India),(636 Reviews)
567,AIS Distribution S...,3.8,Public,"Gurgaon/Gurugram,Haryana + 44 more",38 years old,1k-5k employees (India),(635 Reviews)
568,Jubilant Pharmova,4.0,Public,"Noida,Uttar Pradesh + 39 more",44 years old,5k-10k employees (Global),(633 Reviews)
569,MSN Laboratories,3.5,Private,"Hyderabad/Secunderabad,Telangana + 41 more",19 years old,1k-5k employees (India),(633 Reviews)
570,Nagarro,4.0,Private,"Munich,Bavaria + 10 more",26 years old,5k-10k employees (India),(633 Reviews)
571,Orange Business Se...,4.2,Private,Paris + 33 more,16 years old,1k-5k employees (India),(632 Reviews)
572,NSH,3.8,Private,Al Jubail + 29 more,44 years old,501-1k employees (India),(632 Reviews)
573,Marico,4.1,Public,"Mumbai,Maharashtra",32 years old,1k-5k employees (India),(939 Reviews)
574,DISH TV,3.7,Public,"Noida,Uttar Pradesh",19 years old,1k-5k employees (Global),(689 Reviews)
575,SKF,4.0,Public,"Pune,Maharashtra + 45 more",99 years old,1k-5k employees (India),(630 Reviews)
576,ECIL,4.2,Public,"Hyderabad/Secunderabad,Telangana + 26 more",55 years old,1k-5k employees (India),(628 Reviews)
577,Paisabazaar.com,3.9,Private,"Gurgaon/Gurugram,Haryana + 7 more",11 years old,1k-5k employees (India),(627 Reviews)
578,Sanofi,4.5,Public,Paris,18 years old,1k-5k employees (India),(766 Reviews)
579,IDC Technologies,3.4,Private,"Milpitas,California + 43 more",19 years old,1k-5k employees (India),(622 Reviews)
580,Hero FinCorp,4.2,Private,Delhi + 172 more,31 years old,1k-5k employees (India),(621 Reviews)
581,Bajaj Motors,3.7,Private,Gurgaon + 44 more,36 years old,1k-5k employees (India),(621 Reviews)
582,FDC,4.0,Public,"Mumbai,Maharashtra + 70 more",82 years old,1k-5k employees (India),(619 Reviews)
583,L&T Hydrocarbon En...,4.0,Private,"Mumbai,Maharashtra + 44 more",13 years old,1k-5k employees (India),(618 Reviews)
584,Oil And Natural Ga...,4.3,"Delhi/NCR,Delhi",66 years old,10k-50k employees (India),,(1.4k Reviews)
585,Daimler India Comm...,4.1,Private,"Chennai,Tamil Nadu + 27 more",136 years old,1k-5k employees (India),(617 Reviews)
586,CRB Tech Solution,4.4,Private,"Pune,Maharashtra + 5 more",21 years old,501-1k employees (India),(616 Reviews)
587,Oracle Financial S...,3.7,Public,Mumbai + 12 more,32 years old,50k-1 Lakh employees (India),(614 Reviews)
588,Bharat Sanchar Nig...,4.1,Private,"Delhi/NCR,New Delhi + 155 more",22 years old,50k-1 Lakh employees (India),(613 Reviews)
589,Indiabulls Consume...,3.8,"Mumbai,Maharashtra + 114 more",28 years old,10k-50k employees (India),,(613 Reviews)
590,Mercer,3.9,Private,"New York,New York + 10 more",77 years old,1k-5k employees (India),(613 Reviews)
591,Spicejet,3.5,Public,"Gurgaon/Gurugram,Haryana + 43 more",18 years old,10k-50k employees (Global),(613 Reviews)
592,Amazon Transportat...,4.2,Private,"Seattle,Washington",10 years old,1k-5k employees (India),(10.8k Reviews)
593,Fino Payments Bank,4.3,Private,"Mumbai,Maharashtra + 134 more",16 years old,1k-5k employees (India),(612 Reviews)
594,Computer Age Manag...,3.8,Private,"Chennai,Tamil Nadu + 61 more",34 years old,1k-5k employees (India),(610 Reviews)
595,Karvy Stock Brokin...,3.5,Private,"Hyderabad/Secunderabad,Telangana + 92 more",32 years old,10k-50k employees (Global),(609 Reviews)
596,Kendriya Vidyalaya...,4.4,Public,"Delhi/NCR,Delhi + 149 more",59 years old,10k-50k employees (India),(608 Reviews)
597,GAIL,4.3,Private,"Delhi/NCR,Delhi",38 years old,1k-5k employees (India),(938 Reviews)
598,GAMMON INDIA,4.1,Public,"Mumbai,Maharashtra",100 years old,1k-5k employees (Global),(813 Reviews)
599,Orion Edutech,3.2,Private,Kolkata + 90 more,16 years old,5k-10k employees (India),(606 Reviews)
600,TATA Power,4.2,Public,"Mumbai,Maharashtra",111 years old,5k-10k employees (India),(1k Reviews)
601,Telenor,4.4,Private,"Fornebu,Fornebu",13 years old,1k-5k employees (India),(610 Reviews)
602,BT Global Services,4.2,Private,London + 8 more,22 years old,1k-5k employees (India),(601 Reviews)
603,Suguna Foods,4.2,Private,"Coimbatore,Tamil Nadu + 96 more",38 years old,5k-10k employees (India),(601 Reviews)
604,DHL Supply Chain,4.4,Private,Bonn + 51 more,53 years old,1k-5k employees (India),(601 Reviews)
605,Apotex Research,4.5,Private,"Brantford,Ontario + 7 more",19 years old,1k-5k employees (India),(599 Reviews)
606,Jindal Saw,4.1,Public,"Delhi/NCR,New Delhi + 32 more",38 years old,5k-10k employees (India),(598 Reviews)
607,ITD Cementation In...,4.2,Public,"Mumbai,Maharashtra + 38 more",91 years old,1k-5k employees (India),(598 Reviews)
608,Rane TRW Steering ...,4.1,Chennai + 36 more,,,,(598 Reviews)
609,V-Guard Industries,4.4,Public,"Kochi/Cochin,Kerala",45 years old,1k-5k employees (India),(610 Reviews)
610,Fresenius,4.1,Public,"Gurgaon/Gurugram,Haryana",23 years old,1k-5k employees (India),(595 Reviews)
611,Cushman & Wakefiel...,4.3,Private,Chicago + 24 more,25 years old,1k-5k employees (India),(595 Reviews)
612,BVG India,3.8,Private,"Pune,Maharashtra + 60 more",25 years old,1k-5k employees (India),(595 Reviews)
613,Shriram Pistons & ...,4.3,Public,"Delhi/NCR,Delhi + 36 more",59 years old,1k-5k employees (India),(595 Reviews)
614,Biological E,4.1,Private,"Hyderabad/Secunderabad,Telangana + 16 more",69 years old,1k-5k employees (India),(594 Reviews)
615,Honeywell Technolo...,3.9,Private,"Bangalore/Bengaluru,Karnataka + 13 more",28 years old,10k-50k employees (India),(593 Reviews)
616,Indoco Remedies,3.9,Public,"Mumbai,Maharashtra + 44 more",75 years old,1k-5k employees (India),(592 Reviews)
617,Ashoka Buildcon,4.1,Public,"Nasik/Nashik,Maharashtra + 84 more",46 years old,1k-5k employees (India),(591 Reviews)
618,Daikin,4.2,Private,"Osaka City,Osaka",22 years old,1k-5k employees (India),(591 Reviews)
619,Devyani Internatio...,3.7,Public,Gurugram + 57 more,31 years old,5k-10k employees (India),(590 Reviews)
