,name,rating,company_type,location,old,emp,reviews
203,Torrent Pharmaceut...,4.1,Public,"Ahmedabad,Gujrat + 81 more",51 years old,5k-10k employees (India),(1.4k Reviews)
204,Hindalco Industrie...,4.2,Public,"Mumbai,Maharashtra + 57 more",64 years old,10k-50k employees (India),(1.4k Reviews)
205,GlobalLogic,3.9,Private,"San Jose,California + 19 more",22 years old,5k-10k employees (India),(1.4k Reviews)
206,PepsiCo,4.2,Private,"Harrison,New York",33 years old,1 Lakh+ employees (India),(1.5k Reviews)
207,Deutsche Bank,4.2,Private,Frankfurt + 27 more,152 years old,10k-50k employees (India),(1.4k Reviews)
208,24/7 Customer,3.6,Private,San Jose + 15 more,22 years old,5k-10k employees (India),(1.4k Reviews)
209,Pidilite Industrie...,4.4,Public,"Mumbai,Maharashtra",63 years old,5k-10k employees (India),(1.5k Reviews)
210,ACC,4.1,Public,"Mumbai,Maharashtra",86 years old,5k-10k employees (India),(1.5k Reviews)
211,Muthoot Finance,3.6,"Kochi/Cochin,Kerala + 301 more",83 years old,10k-50k employees (India),,(1.4k Reviews)
212,HCL Infosystems,3.8,Public,"Noida,Uttar Pradesh",46 years old,10k-50k employees (India),(16.9k Reviews)
213,KPIT Technologies,3.3,Private,"Pune,Maharashtra + 19 more",32 years old,5k-10k employees (India),(1.4k Reviews)
214,Randstad,4.1,Private,"Chennai,Tamil Nadu",30 years old,1k-5k employees (India),(1.4k Reviews)
215,Team Lease,4.0,Public,"Bangalore/Bengaluru,Karnataka + 145 more",6 years old,1k-5k employees (India),(1.4k Reviews)
216,Swiggy,4.1,Private,Bangalore + 111 more,8 years old,1k-5k employees (India),(1.4k Reviews)
217,Fortis Healthcare,4.0,Public,"Gurgaon/Gurugram,Haryana",26 years old,5k-10k employees (India),(1.4k Reviews)
218,Landmark Group,4.2,Private,"Dubai Marina,Dubai",49 years old,1k-5k employees (India),(3.9k Reviews)
219,Eureka Forbes,4.0,Private,"Mumbai,Maharashtra + 134 more",40 years old,201-500 employees (India),(1.3k Reviews)
220,Patanjali Ayurved,4.0,Private,"Haridwar,Uttarakhand + 191 more",16 years old,501-1k employees (India),(1.3k Reviews)
221,Jindal Steel and P...,3.9,Private,"Delhi/NCR,New Delhi",70 years old,10k-50k employees (Global),(1.6k Reviews)
222,Capita,3.7,Private,"Indore,Madhya Pradesh",17 years old,1k-5k employees (India),(1.4k Reviews)
223,Apollo Tyres,4.2,Public,"Gurgaon/Gurugram,Haryana + 120 more",50 years old,5k-10k employees (India),(1.3k Reviews)
224,Ola Cabs,3.8,Private,Bangalore,12 years old,1k-5k employees (India),(1.7k Reviews)
225,Dabur,4.1,Public,"Ghaziabad,Uttar Pradesh + 155 more",138 years old,5k-10k employees (India),(1.3k Reviews)
226,Vishal Mega Mart,3.9,Private,"Ahmedabad,Gujrat + 198 more",14 years old,5k-10k employees (India),(1.3k Reviews)
227,Dilip Buildcon,4.0,Public,"Bhopal,Madhya Pradesh + 119 more",35 years old,10k-50k employees (India),(1.3k Reviews)
